ConditionsSky,NumberStruckActual,WildlifeSize,AlertScore,Risk
Overcast,1,Small,5,Moderate
Some Cloud,1,Medium,5,Moderate
Overcast,1,Small,5,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Medium,5,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Small,11,High
Some Cloud,1,Small,4,Moderate
No Cloud,1,Large,7,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Medium,4,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,5,Moderate
Some Cloud,1,Small,4,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Large,8,High
No Cloud,1,Small,3,Low
Some Cloud,1,Small,4,Moderate
Overcast,1,Medium,6,Moderate
No Cloud,1,Medium,4,Moderate
No Cloud,1,Medium,4,Moderate
Some Cloud,1,Medium,5,Moderate
Some Cloud,1,Small,4,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Small,4,Moderate
No Cloud,1,Small,3,Low
Overcast,1,Small,5,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Medium,6,Moderate
Some Cloud,1,Large,6,Moderate
Some Cloud,1,Small,4,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Small,4,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Small,4,Moderate
Overcast,1,Small,5,Moderate
Overcast,1,Small,5,Moderate
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Medium,5,Moderate
Overcast,1,Medium,6,Moderate
No Cloud,1,Medium,6,Moderate
No Cloud,1,Medium,4,Moderate
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Large,6,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
Some Cloud,1,Small,4,Moderate
No Cloud,1,Small,3,Low
Overcast,1,Large,7,Moderate
No Cloud,1,Small,5,Moderate
No Cloud,1,Medium,11,High
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Medium,5,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Small,4,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
Overcast,1,Large,7,Moderate
No Cloud,1,Small,5,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
Some Cloud,1,Small,4,Moderate
Overcast,1,Small,7,Moderate
No Cloud,1,Large,5,Moderate
Some Cloud,1,Small,4,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
Some Cloud,1,Small,4,Moderate
Overcast,1,Small,5,Moderate
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Medium,5,Moderate
No Cloud,1,Small,3,Low
Overcast,1,Small,5,Moderate
No Cloud,1,Medium,4,Moderate
No Cloud,1,Small,3,Low
Overcast,1,Medium,6,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
Some Cloud,1,Medium,5,Moderate
Some Cloud,1,Large,6,Moderate
No Cloud,1,Medium,4,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Medium,5,Moderate
No Cloud,1,Medium,4,Moderate
No Cloud,1,Medium,4,Moderate
Some Cloud,1,Large,8,High
No Cloud,1,Medium,8,High
Some Cloud,1,Medium,5,Moderate
No Cloud,1,Medium,4,Moderate
No Cloud,1,Large,12,High
No Cloud,1,Small,3,Low
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Large,6,Moderate
No Cloud,1,Medium,6,Moderate
Some Cloud,1,Medium,5,Moderate
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Small,4,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Medium,5,Moderate
Overcast,1,Large,7,Moderate
No Cloud,1,Medium,4,Moderate
Some Cloud,1,Medium,5,Moderate
Some Cloud,1,Medium,5,Moderate
Overcast,1,Medium,6,Moderate
Overcast,1,Medium,6,Moderate
Some Cloud,1,Small,4,Moderate
No Cloud,1,Medium,4,Moderate
No Cloud,1,Small,3,Low
Overcast,1,Small,5,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Small,4,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Small,6,Moderate
Some Cloud,1,Small,4,Moderate
Overcast,1,Medium,6,Moderate
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Small,4,Moderate
No Cloud,1,Medium,4,Moderate
Overcast,1,Small,5,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
Overcast,1,Small,5,Moderate
No Cloud,1,Medium,4,Moderate
Some Cloud,1,Large,6,Moderate
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Large,8,High
No Cloud,1,Medium,6,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Medium,5,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Medium,5,Moderate
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Small,4,Moderate
No Cloud,1,Medium,4,Moderate
No Cloud,1,Medium,4,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Medium,4,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Large,8,High
Overcast,1,Medium,6,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Large,5,Moderate
No Cloud,1,Medium,4,Moderate
Some Cloud,1,Small,4,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Large,8,High
Some Cloud,1,Medium,8,High
No Cloud,1,Medium,4,Moderate
No Cloud,1,Small,3,Low
Overcast,1,Small,5,Moderate
Overcast,1,Large,16,High
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
Overcast,1,Large,9,High
Some Cloud,1,Large,10,High
Overcast,1,Medium,8,High
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Small,4,Moderate
Overcast,1,Small,5,Moderate
Some Cloud,1,Small,4,Moderate
No Cloud,1,Small,3,Low
Overcast,1,Medium,8,High
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
Overcast,1,Small,5,Moderate
No Cloud,1,Small,3,Low
Overcast,1,Medium,6,Moderate
Some Cloud,1,Medium,5,Moderate
Overcast,1,Small,5,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Medium,4,Moderate
Some Cloud,1,Small,4,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Large,6,Moderate
Overcast,1,Small,5,Moderate
Overcast,1,Large,11,High
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Medium,4,Moderate
Some Cloud,1,Small,4,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Medium,4,Moderate
Some Cloud,1,Small,6,Moderate
Overcast,1,Large,9,High
Some Cloud,1,Medium,9,High
Some Cloud,1,Small,4,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Small,4,Moderate
Overcast,1,Small,5,Moderate
No Cloud,1,Medium,4,Moderate
Some Cloud,1,Small,8,High
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Small,4,Moderate
No Cloud,1,Medium,6,Moderate
No Cloud,1,Medium,4,Moderate
No Cloud,1,Large,6,Moderate
No Cloud,1,Medium,4,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Small,4,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Small,4,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Large,6,Moderate
Some Cloud,1,Large,6,Moderate
No Cloud,1,Medium,6,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Large,10,High
No Cloud,1,Medium,4,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Small,4,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Small,4,Moderate
No Cloud,1,Large,5,Moderate
Some Cloud,1,Small,4,Moderate
Overcast,1,Small,7,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Medium,4,Moderate
No Cloud,1,Small,10,High
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Small,4,Moderate
No Cloud,1,Large,5,Moderate
No Cloud,1,Medium,4,Moderate
Overcast,1,Small,5,Moderate
Overcast,1,Medium,13,High
No Cloud,1,Small,3,Low
Overcast,1,Small,5,Moderate
Some Cloud,1,Small,4,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Small,4,Moderate
No Cloud,1,Medium,4,Moderate
No Cloud,1,Large,7,Moderate
Overcast,1,Small,5,Moderate
No Cloud,1,Small,3,Low
Overcast,1,Medium,6,Moderate
Overcast,1,Medium,6,Moderate
Some Cloud,1,Medium,5,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Small,4,Moderate
Overcast,1,Medium,8,High
Overcast,1,Small,5,Moderate
Some Cloud,1,Small,4,Moderate
Overcast,1,Medium,6,Moderate
Overcast,1,Small,5,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
Overcast,1,Large,10,High
Overcast,1,Small,5,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Medium,5,Moderate
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Large,15,High
Some Cloud,1,Small,4,Moderate
No Cloud,1,Small,3,Low
Overcast,1,Small,5,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,5,Moderate
No Cloud,1,Medium,4,Moderate
No Cloud,1,Medium,4,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Small,4,Moderate
No Cloud,1,Small,3,Low
Overcast,1,Medium,6,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Large,7,Moderate
No Cloud,1,Medium,6,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Medium,4,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
Some Cloud,1,Medium,5,Moderate
No Cloud,1,Medium,4,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
Some Cloud,1,Small,4,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Medium,4,Moderate
Some Cloud,1,Medium,5,Moderate
Overcast,1,Medium,15,High
Some Cloud,1,Small,4,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
Overcast,1,Small,12,High
No Cloud,1,Small,3,Low
Overcast,1,Small,5,Moderate
Some Cloud,1,Small,4,Moderate
No Cloud,1,Small,3,Low
Overcast,1,Small,5,Moderate
Overcast,1,Small,5,Moderate
No Cloud,1,Large,7,Moderate
No Cloud,1,Medium,4,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Medium,4,Moderate
No Cloud,1,Medium,4,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Small,4,Moderate
No Cloud,1,Medium,4,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Medium,4,Moderate
No Cloud,1,Medium,4,Moderate
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Medium,5,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Medium,4,Moderate
No Cloud,1,Medium,4,Moderate
Some Cloud,1,Medium,5,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
Some Cloud,1,Small,4,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
Overcast,1,Small,5,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Small,13,High
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Medium,4,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Small,4,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
Some Cloud,1,Small,4,Moderate
No Cloud,1,Medium,4,Moderate
No Cloud,1,Medium,4,Moderate
Some Cloud,1,Medium,5,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Small,4,Moderate
No Cloud,1,Medium,4,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Small,6,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Medium,4,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Medium,4,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
Some Cloud,1,Medium,5,Moderate
Some Cloud,1,Medium,5,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Small,4,Moderate
Overcast,1,Medium,13,High
Overcast,1,Small,5,Moderate
No Cloud,1,Medium,4,Moderate
No Cloud,1,Medium,4,Moderate
Overcast,1,Medium,6,Moderate
Some Cloud,1,Small,4,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Small,4,Moderate
No Cloud,1,Large,5,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
Some Cloud,1,Large,10,High
No Cloud,1,Medium,4,Moderate
Some Cloud,1,Small,4,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Small,4,Moderate
Overcast,1,Small,5,Moderate
No Cloud,1,Large,5,Moderate
No Cloud,1,Medium,4,Moderate
No Cloud,1,Medium,4,Moderate
Overcast,1,Small,7,Moderate
Some Cloud,1,Medium,5,Moderate
Some Cloud,1,Medium,5,Moderate
No Cloud,1,Medium,4,Moderate
Some Cloud,1,Medium,5,Moderate
Overcast,1,Large,7,Moderate
Overcast,1,Small,5,Moderate
Overcast,1,Small,5,Moderate
Some Cloud,1,Large,6,Moderate
No Cloud,1,Medium,6,Moderate
Some Cloud,1,Small,4,Moderate
No Cloud,1,Medium,4,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Medium,4,Moderate
No Cloud,1,Medium,4,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Small,4,Moderate
Overcast,1,Small,5,Moderate
Overcast,1,Medium,6,Moderate
Overcast,1,Small,5,Moderate
Some Cloud,1,Small,4,Moderate
No Cloud,1,Large,5,Moderate
Some Cloud,1,Small,4,Moderate
Overcast,1,Small,5,Moderate
Overcast,1,Medium,8,High
Some Cloud,1,Small,4,Moderate
Overcast,1,Small,5,Moderate
Overcast,1,Small,5,Moderate
Some Cloud,1,Small,4,Moderate
Overcast,1,Small,5,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Large,13,High
No Cloud,1,Small,3,Low
Overcast,1,Small,5,Moderate
No Cloud,1,Large,5,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Medium,5,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Small,4,Moderate
Overcast,1,Medium,6,Moderate
Overcast,1,Small,5,Moderate
Overcast,1,Medium,10,High
Overcast,1,Small,5,Moderate
Some Cloud,1,Small,4,Moderate
No Cloud,1,Medium,4,Moderate
Some Cloud,1,Medium,5,Moderate
Some Cloud,1,Medium,5,Moderate
No Cloud,1,Medium,4,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Medium,5,Moderate
Some Cloud,1,Small,6,Moderate
Overcast,1,Medium,6,Moderate
Some Cloud,1,Medium,5,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Medium,5,Moderate
Overcast,1,Large,7,Moderate
No Cloud,1,Large,7,Moderate
Some Cloud,1,Small,4,Moderate
No Cloud,1,Medium,4,Moderate
No Cloud,1,Medium,4,Moderate
Some Cloud,1,Small,4,Moderate
No Cloud,1,Small,3,Low
Overcast,1,Small,5,Moderate
Some Cloud,1,Medium,5,Moderate
No Cloud,1,Medium,6,Moderate
Overcast,1,Small,5,Moderate
Some Cloud,1,Small,4,Moderate
No Cloud,1,Small,3,Low
Overcast,1,Medium,6,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Small,4,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Medium,4,Moderate
Overcast,1,Small,5,Moderate
Some Cloud,1,Small,6,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
Overcast,1,Small,5,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Medium,4,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Medium,5,Moderate
Some Cloud,1,Medium,5,Moderate
No Cloud,1,Small,3,Low
Overcast,1,Small,5,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Medium,4,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Medium,6,Moderate
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Small,4,Moderate
Overcast,1,Medium,6,Moderate
No Cloud,1,Medium,4,Moderate
No Cloud,1,Small,5,Moderate
No Cloud,1,Medium,4,Moderate
Some Cloud,1,Large,6,Moderate
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Large,6,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Small,4,Moderate
No Cloud,1,Medium,6,Moderate
Some Cloud,1,Medium,5,Moderate
Some Cloud,1,Medium,5,Moderate
Overcast,1,Small,5,Moderate
No Cloud,1,Medium,4,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Medium,5,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Large,5,Moderate
No Cloud,1,Medium,4,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
Some Cloud,1,Small,6,Moderate
Overcast,1,Small,5,Moderate
Overcast,1,Medium,6,Moderate
No Cloud,1,Medium,4,Moderate
Some Cloud,1,Small,4,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Medium,4,Moderate
Some Cloud,1,Medium,5,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Medium,5,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Small,4,Moderate
No Cloud,1,Medium,6,Moderate
No Cloud,1,Medium,6,Moderate
No Cloud,1,Medium,4,Moderate
No Cloud,1,Small,3,Low
Overcast,1,Small,5,Moderate
Some Cloud,1,Small,4,Moderate
Overcast,1,Small,5,Moderate
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Small,4,Moderate
Overcast,1,Medium,6,Moderate
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Small,4,Moderate
Overcast,1,Small,5,Moderate
Overcast,1,Small,5,Moderate
No Cloud,1,Small,3,Low
Overcast,1,Large,9,High
No Cloud,1,Medium,4,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Small,5,Moderate
Some Cloud,1,Small,4,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Medium,4,Moderate
Some Cloud,1,Medium,7,Moderate
Some Cloud,1,Medium,5,Moderate
No Cloud,1,Small,3,Low
Overcast,1,Small,5,Moderate
Some Cloud,1,Small,4,Moderate
No Cloud,1,Medium,4,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Medium,4,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Large,5,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Medium,7,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Small,4,Moderate
No Cloud,1,Medium,4,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
Some Cloud,1,Small,4,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
Overcast,1,Small,5,Moderate
Some Cloud,1,Small,4,Moderate
Overcast,1,Small,5,Moderate
Some Cloud,1,Small,4,Moderate
Overcast,1,Small,5,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
Some Cloud,1,Large,6,Moderate
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Small,13,High
No Cloud,1,Medium,4,Moderate
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Small,4,Moderate
Overcast,1,Small,5,Moderate
Some Cloud,1,Medium,5,Moderate
No Cloud,1,Medium,4,Moderate
Overcast,1,Small,5,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Medium,4,Moderate
Overcast,1,Small,5,Moderate
Overcast,1,Medium,6,Moderate
No Cloud,1,Small,3,Low
Overcast,1,Small,5,Moderate
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Large,6,Moderate
Some Cloud,1,Small,4,Moderate
No Cloud,1,Small,3,Low
Overcast,1,Medium,6,Moderate
Some Cloud,1,Medium,5,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Medium,4,Moderate
Some Cloud,1,Medium,5,Moderate
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Medium,5,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
Overcast,1,Small,5,Moderate
No Cloud,1,Small,5,Moderate
Overcast,1,Medium,8,High
Some Cloud,1,Small,4,Moderate
Overcast,1,Small,5,Moderate
Some Cloud,1,Small,11,High
Overcast,1,Small,5,Moderate
No Cloud,1,Medium,6,Moderate
Overcast,1,Small,5,Moderate
Overcast,1,Small,5,Moderate
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Small,4,Moderate
Overcast,1,Medium,6,Moderate
Some Cloud,1,Small,4,Moderate
No Cloud,1,Large,14,High
Some Cloud,1,Large,6,Moderate
No Cloud,1,Medium,4,Moderate
Overcast,1,Small,5,Moderate
No Cloud,1,Small,3,Low
Overcast,1,Small,5,Moderate
Overcast,1,Small,5,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Medium,4,Moderate
Some Cloud,1,Small,4,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
Overcast,1,Large,8,High
No Cloud,1,Small,5,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Small,5,Moderate
No Cloud,1,Medium,6,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Small,4,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
Some Cloud,1,Medium,5,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Medium,4,Moderate
No Cloud,1,Medium,4,Moderate
Overcast,1,Small,5,Moderate
No Cloud,1,Medium,4,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Large,5,Moderate
Overcast,1,Small,5,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Medium,5,Moderate
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Medium,5,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Small,4,Moderate
Overcast,1,Small,9,High
Some Cloud,1,Small,4,Moderate
No Cloud,1,Medium,4,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Small,4,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Small,4,Moderate
Overcast,1,Small,5,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
Some Cloud,1,Small,4,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
Some Cloud,1,Medium,5,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
Some Cloud,1,Small,4,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Medium,9,High
Some Cloud,1,Medium,7,Moderate
Some Cloud,1,Small,4,Moderate
Overcast,1,Small,5,Moderate
Some Cloud,1,Large,6,Moderate
Some Cloud,1,Medium,5,Moderate
Overcast,1,Small,5,Moderate
Overcast,1,Medium,13,High
Some Cloud,1,Medium,5,Moderate
Overcast,1,Small,5,Moderate
No Cloud,1,Small,3,Low
Overcast,1,Small,5,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
Some Cloud,1,Small,4,Moderate
No Cloud,1,Small,10,High
Some Cloud,1,Small,4,Moderate
No Cloud,1,Small,3,Low
Overcast,1,Small,5,Moderate
Some Cloud,1,Small,4,Moderate
Overcast,1,Small,5,Moderate
No Cloud,1,Small,3,Low
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Small,4,Moderate
Overcast,1,Small,7,Moderate
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Medium,5,Moderate
No Cloud,1,Small,3,Low
Overcast,1,Small,5,Moderate
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Medium,9,High
Overcast,1,Small,7,Moderate
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Medium,5,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
No Cloud,1,Large,7,Moderate
Overcast,1,Small,5,Moderate
Overcast,1,Small,5,Moderate
Overcast,1,Small,5,Moderate
Overcast,1,Small,5,Moderate
Some Cloud,1,Small,4,Moderate
No Cloud,1,Small,5,Moderate
No Cloud,1,Medium,4,Moderate
Some Cloud,1,Medium,5,Moderate
Overcast,1,Small,5,Moderate
Some Cloud,1,Small,4,Moderate
No Cloud,1,Large,5,Moderate
Some Cloud,1,Medium,5,Moderate
No Cloud,1,Medium,4,Moderate
Overcast,1,Small,5,Moderate
Overcast,1,Small,5,Moderate
No Cloud,1,Medium,4,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
Overcast,1,Small,5,Moderate
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Small,4,Moderate
No Cloud,1,Small,3,Low
No Cloud,1,Small,3,Low
Overcast,1,Small,5,Moderate
No Cloud,1,Small,5,Moderate
Some Cloud,1,Large,6,Moderate
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Small,4,Moderate
Some Cloud,1,Medium,7,Moderate
Overcast,1,Large,7,Moderate
Overcast,1,Medium,6,Moderate
Overcast,1,Small,5,Moderate
No Cloud,1,Medium,4,Moderate
Overcast,1,Small,5,Moderate
Some Cloud,1,Small,4,Moderate
No Cloud,1,Medium,6,Moderate
